part_name,specification,category_name,category_code,brand,material,unit_price,supplier,stock_status,part_code
FESTO VUVG-L10-M52-ZT2L-F 气阀,VUVG-L10-M52-ZT2L-F,气阀,B.02.02,FESTO,不锈钢,950,费斯托（中国）自动化制造有限公司,紧张,FEST-B-004-004
AirTAC AHP-2032-10-B 油管,AHP-2032-10-B,油管,B.03.01,AirTAC,聚氨酯,180,亚德客（中国）有限公司,充足,AIRT-B-005-005
SIEMENS 3RT1044-1BB40 接触器,"3RT1044-1BB40, 额定电流40A, 3P",继电器,C.02.01,SIEMENS,"热塑性塑料, 银合金触点",450,上海西门子工业自动化有限公司,充足,SIEM-C-001-001
ABB OVPB-16 微型断路器,"OVPB-16, 额定电流16A, 2P",断路器,C.02.02,ABB,"热固性塑料, 铜合金触点",85,北京ABB电气传动系统有限公司,紧张,ABBX-C-002-002
Schneider XCMA-1210 限位开关,"XCMA-1210, 2NO+2NC, IP67",开关,C.01.01,Schneider,"不锈钢外壳, 聚碳酸酯操作头",120,施耐德电气（中国）有限公司,充足,SCHN-C-003-003
OMRON E3Z-R61 光电传感器,"E3Z-R61, 漫反射型, NPN输出, 检测距离600mm",传感器,C.01.02,OMRON,"铝合金外壳, 聚碳酸酯透镜",320,欧姆龙自动化（中国）有限公司,紧张,OMRO-C-004-004
"Phoenix Contact MKDS 1,5/ 3-5.08 接线端子","MKDS 1,5/ 3-5.08, 3位, 5.08mm间距",接线端子,C.03.02,Phoenix Contact,"PA66阻燃塑料, 铜镀锡端子",15,菲尼克斯电气（南京）有限公司,充足,PHOE-C-005-005
SIEMENS 3RT1016-1BB42 接触器,"3RT1016-1BB42, 额定电流 16A, 3P, AC-3",继电器,C.02.01,SIEMENS,"热塑性塑料外壳, 银合金触点",285,上海西门子工业自动化有限公司,充足,SIEM-C-001-001
ABB OSMC32N3 微型断路器,"OSMC32N3, 额定电流 32A, 3P, 6kA",断路器,C.02.02,ABB,"热固性塑料外壳, 铜合金触点",150,北京ABB电气传动系统有限公司,紧张,ABBX-C-002-002
Schneider XCMA-1210 限位开关,"XCMA-1210, 1NO+1NC, IP67, 金属滚轮",开关,C.01.01,Schneider,"不锈钢外壳, 银合金触点",120,施耐德电气（中国）有限公司,充足,SCHN-C-003-003
OMRON E3Z-D61 光电传感器,"E3Z-D61, NPN, 检测距离 100mm, 漫反射型",传感器,C.01.02,OMRON,"ABS塑料外壳, 红外LED发射器",350,欧姆龙自动化（中国）有限公司,紧张,OMRO-C-004-004
Phoenix Contact FLK 20/03-ST-5.08 接线端子,"FLK 20/03-ST-5.08, 3位, 5.08mm间距, 螺钉连接",接线端子,C.03.02,Phoenix Contact,"PA66塑料外壳, 铜合金导电件",15,菲尼克斯电气（南京）有限公司,充足,PHOE-C-005-005
SIEMENS 3RT1016-1BB04 接触器,"3RT1016-1BB04, 额定电流 16A, 3P",继电器,C.02.01,SIEMENS,工程塑料、银合金触点,285,上海西门子工业自动化有限公司,充足,SIEM-C-001-001
ABB OVP2000 光电传感器,"OVP2000, 检测距离 2000mm, NPN 输出",传感器,C.01.02,ABB,不锈钢外壳、玻璃透镜,650,北京ABB电气传动系统有限公司,紧张,ABBX-C-002-002
Schneider NSX100N 微型断路器,"NSX100N, 额定电流 100A, 3P, 电磁脱扣",断路器,C.02.02,Schneider,热固性塑料、铜合金触点,420,施耐德电气（中国）有限公司,充足,SCHN-C-003-003
OMRON G6B-1114P-US 固态继电器,"G6B-1114P-US, 输入电压 3-32VDC, 输出 100-240VAC, 10A",继电器,C.02.01,OMRON,环氧树脂封装、铜基板,195,欧姆龙自动化（中国）有限公司,紧张,OMRO-C-004-004
"Phoenix Contact MKDS 1,5/ 3-5.08 接线端子","MKDS 1,5/ 3-5.08, 3位, 5.08mm 间距, 额定电流 24A",接线端子,C.03.02,Phoenix Contact,PA66 阻燃塑料、镀锡铜,12,菲尼克斯电气（南京）有限公司,充足,PHOE-C-005-005
SIEMENS 3RT1015-1BB42 接触器,"3RT1015-1BB42, 额定电流12A, 3极",继电器,C.02.01,SIEMENS,工程塑料及银合金触点,285,上海西门子工业自动化有限公司,充足,SIEM-C-001-001
ABB OSMC32N3 微型断路器,"OSMC32N3, 3P, 32A, C型曲线",断路器,C.02.02,ABB,热塑性塑料及铜合金,156,北京ABB电气传动系统有限公司,紧张,ABBX-C-002-002
Schneider XB2BA31 按钮开关,"XB2BA31, 直径22mm, 瞬动型, 红色",开关,C.01.01,Schneider,聚碳酸酯及不锈钢,42,施耐德电气（中国）有限公司,充足,SCHN-C-003-003
OMRON E3Z-R61 光电传感器,"E3Z-R61, 漫反射型, NPN输出, 检测距离600mm",传感器,C.01.02,OMRON,ABS树脂及光学玻璃,380,欧姆龙自动化（中国）有限公司,紧张,OMRO-C-004-004
Phoenix Contact MKDS 1.5-5.08 接线端子,"MKDS 1.5-5.08, 5.08mm间距, 1.5mm²导线截面",接线端子,C.03.02,Phoenix Contact,聚酰胺66及铜合金,2.5,菲尼克斯电气（南京）有限公司,充足,PHOE-C-005-005
BOSCH M8×1.25×30 六角头螺栓,M8×1.25×30,螺栓,D.01.01,BOSCH,碳钢8.8级,2.5,上海博世工业配件有限公司,充足,BOSC-D-001-001
PEM S-M3-2 压铆螺母,S-M3-2,螺母,D.01.02,PEM,不锈钢304,1.8,苏州沛恩紧固件有限公司,紧张,PEMX-D-002-002
SOUTHCO M4×16 十字槽盘头螺钉,M4×16,螺钉,D.02.01,SOUTHCO,碳钢镀锌,0.9,东莞南方科紧固件有限公司,充足,SOUT-D-003-003
WD DIN125-M8 平垫圈,DIN125-M8,垫圈,D.02.02,WD,碳钢,0.2,无锡威达紧固件有限公司,充足,WDXX-D-004-004
Hilti HRD-M6-10 抽芯铆钉,HRD-M6-10,铆钉,D.03.01,Hilti,铝合金,3.2,喜利得（中国）商贸有限公司,紧张,HILT-D-005-005
BOSCH DIN 933 M8x30 六角头螺栓,M8x30,螺栓,D.01.01,BOSCH,碳钢 8.8级,1.25,上海博世工业配件有限公司,充足,BOSC-D-001-001
PEM SMTSS4-4 自锁螺母,4-4 UNC,螺母,D.01.02,PEM,不锈钢 304,2.75,苏州沛姆紧固件有限公司,紧张,PEMX-D-002-002
SOUTHCO M4-0.7x12 十字槽盘头螺钉,M4-0.7x12,螺钉,D.02.01,SOUTHCO,碳钢 镀锌,0.85,深圳索斯科五金有限公司,充足,SOUT-D-003-003
WD DIN 125 A2 平垫圈,M10,垫圈,D.02.02,WD,不锈钢 304,0.35,无锡WD紧固件贸易有限公司,紧张,WDXX-D-004-004
Hilti HUS3 6x55 碳钢铆钉,6x55,铆钉,D.03.01,Hilti,碳钢,1.5,喜利得（中国）商贸有限公司,充足,HILT-D-005-005
BOSCH DIN933 M8x20 六角头螺栓,DIN933 M8x20,螺栓,D.01.01,BOSCH,碳钢镀锌,1.2,上海博世工具有限公司,充足,BOSC-D-001-001
PEM SMTSO-M4-1 压铆螺母,SMTSO-M4-1,螺母,D.01.02,PEM,不锈钢304,0.85,苏州沛恩电子有限公司,紧张,PEMX-D-002-002
SOUTHCO E6-10-301-20 压缩螺钉,E6-10-301-20,螺钉,D.02.01,SOUTHCO,钢镀镍,3.5,深圳市索斯科科技有限公司,充足,SOUT-D-003-003
WD DIN125 M8 平垫圈,DIN125 M8,垫圈,D.02.02,WD,碳钢,0.15,无锡威迪机械配件有限公司,充足,WDXX-D-004-004
Hilti HST3-R8 抽芯铆钉,HST3-R8,铆钉,D.03.01,Hilti,铝合金,0.45,喜利得（中国）商贸有限公司,紧张,HILT-D-005-005
Shell Omala S4 WE 320 润滑油,ISO VG 320,润滑油,E.01.01,Shell,矿物基础油与添加剂,2850,上海壳牌石油化工有限公司,充足,SHEL-E-001-001
Mobil Grease XHP 222 润滑脂,NLGI 2,润滑脂,E.01.02,Mobil,锂基复合稠化剂与合成基础油,320,埃克森美孚（中国）投资有限公司,充足,MOBI-E-002-002
NOK TC 75×90×10 油封,75×90×10,油封,E.03.01,NOK,丁腈橡胶（NBR）,45,日本NOK株式会社中国分公司,紧张,NOKX-E-003-003
SKF LGMT 2 润滑脂,NLGI 2,润滑脂,E.01.02,SKF,锂基稠化剂与矿物基础油,280,斯凯孚（中国）销售有限公司,充足,SKFX-E-004-004
Garlock GYLON 3510 密封垫,150×150×3mm,密封垫,E.02.02,Garlock,改性聚四氟乙烯（PTFE）,120,美国Garlock公司中国代表处,紧张,GARL-E-005-005
Shell Omala S4 GX 320 润滑油,ISO VG 320,润滑油,E.01.01,Shell,矿物基础油+复合添加剂,1250,上海壳牌润滑油有限公司,充足,SHEL-E-001-001
Mobil SHC 634 润滑脂,NLGI 2级,润滑脂,E.01.02,Mobil,聚脲基+合成基础油,890,埃克森美孚（中国）投资有限公司,紧张,MOBI-E-002-002
NOK TC-75×90×12 油封,内径75mm×外径90mm×厚度12mm,油封,E.03.01,NOK,丁腈橡胶+弹簧钢,45,日本NOK工业株式会社中国总代理,充足,NOKX-E-003-003
SKF LGMT 2/0.5 密封圈,内径2mm×线径0.5mm,密封圈,E.03.02,SKF,氟橡胶,12,斯凯孚（中国）销售有限公司,紧张,SKFX-E-004-004
Garlock 3000-125×125×3 密封垫,125mm×125mm×3mm,密封垫,E.02.02,Garlock,改性聚四氟乙烯,280,美国Garlock密封技术公司中国办事处,充足,GARL-E-005-005
Donaldson P551008 液压油滤芯,P551008，过滤精度10μm，流量50L/min,滤芯,F.01.01,Donaldson,玻璃纤维+金属端盖,450,上海滤芯工业设备有限公司,充足,DONA-F-001-001
Pall HC8300FKN13H 液压油滤芯,HC8300FKN13H，过滤精度3μm，流量100L/min,滤芯,F.01.01,Pall,不锈钢滤网+聚酯纤维,680,北京帕克工业设备有限公司,紧张,PALL-F-002-002
HYDAC 0330D005BN3HC 回油滤芯,0330D005BN3HC，过滤精度5μm，流量30L/min,滤芯,F.01.01,HYDAC,玻璃纤维+金属外壳,320,广州海德克液压设备有限公司,充足,HYDA-F-003-003
Parker 937504Q 空气过滤器,937504Q，过滤精度0.01μm，流量200m³/h,过滤器,F.02.01,Parker,铝合金外壳+聚酯纤维滤芯,1200,苏州派克工业设备有限公司,紧张,PARK-F-004-004
Camfil F7 板式初效过滤器,F7，过滤效率85%，尺寸592x592x46mm,滤网,F.01.02,Camfil,镀锌钢板框架+合成纤维滤料,180,深圳康斐尔空气净化设备有限公司,充足,CAMF-F-005-005
Donaldson P550435 液压油滤芯,P550435，过滤精度10μm,滤芯,F.01.01,Donaldson,玻璃纤维,850,上海唐纳森工业设备有限公司,充足,DONA-F-001-001
Pall HC8304FKP39H 液压油滤芯,HC8304FKP39H，过滤精度5μm,滤芯,F.01.01,Pall,复合纤维,1200,北京颇尔过滤器技术有限公司,紧张,PALL-F-002-002
HYDAC 0330D003BN3HC 液压油过滤器,0330D003BN3HC，流量30L/min,过滤器,F.02.01,HYDAC,不锈钢+玻璃纤维,2500,贺德克液压技术（上海）有限公司,充足,HYDA-F-003-003
Parker 937510Q 空气滤清器,937510Q，过滤面积0.5m²,滤清器,F.02.02,Parker,聚酯纤维+金属网,1800,派克汉尼汾液压系统（上海）有限公司,紧张,PARK-F-004-004
Camfil APC Gold Series X-Flo 除尘器,GSX-24，处理风量24000m³/h,除尘器,F.03.01,Camfil,碳钢+纳米滤膜,85000,康斐尔过滤设备（上海）有限公司,缺货,CAMF-F-005-005
