part_name,specification,category_name,category_code,brand,material,unit_price,supplier,stock_status,part_code
SKF LGMT 2 润滑脂,NLGI 2,润滑脂,E.01.02,SKF,锂基稠化剂+矿物基础油,280,斯凯孚（中国）销售有限公司,紧张,SKFX-E-005-005
Garlock GYLON 3522 密封垫,"1/16"" × 2"" × 2""",密封垫,E.02.02,Garlock,改性聚四氟乙烯（PTFE）,150,加洛克密封技术（上海）有限公司,充足,GARL-E-006-006
NOK TC-20 油封,ID 50mm × OD 70mm × CS 10mm,油封,E.03.01,NOK,氟橡胶（FKM）+弹簧,45,诺克（中国）密封技术有限公司,紧张,NOKX-E-007-007
SKF VQ251 密封圈,ID 25mm × OD 35mm × CS 5mm,密封圈,E.03.02,SKF,丙烯酸酯橡胶（ACM）,38,斯凯孚（中国）销售有限公司,充足,SKFX-E-008-008
Garlock BLUE-GARD 3300 密封垫,"1/8"" × 4"" × 4""",密封垫,E.02.02,Garlock,压缩无石棉纤维,220,加洛克密封技术（上海）有限公司,紧张,GARL-E-009-009
Mobil Grease XHP 222 润滑脂,NLGI 2,润滑脂,E.01.02,Mobil,锂复合稠化剂+合成基础油,580,埃克森美孚（中国）投资有限公司,充足,MOBI-E-010-010
Donaldson P550435 液压油滤芯,"P550435, 过滤精度10μm",滤芯,F.01.01,Donaldson,玻璃纤维,320,上海滤芯工业有限公司,充足,DONA-F-001-001
Pall HC8300FKS39H 液压滤芯,"HC8300FKS39H, 过滤精度5μm",滤芯,F.01.01,Pall,不锈钢网+玻璃纤维,450,北京帕克过滤技术有限公司,紧张,PALL-F-002-002
HYDAC 0330D005BN3HC 回油滤芯,"0330D005BN3HC, 过滤精度25μm",滤芯,F.01.01,HYDAC,纸质滤材,280,广州海德克液压设备有限公司,充足,HYDA-F-003-003
Parker 937304Q 空气滤芯,"937304Q, 过滤精度1μm",滤芯,F.01.01,Parker,聚酯纤维,360,苏州派克过滤系统有限公司,紧张,PARK-F-004-004
3M 7000020489 燃气滤网,"7000020489, 孔径0.5mm",滤网,F.01.02,3M,不锈钢,180,深圳三菱过滤设备有限公司,充足,3MXX-F-005-005
Camfil F7 袋式过滤器,"F7, 效率85%@0.4μm",过滤器,F.02.01,Camfil,无纺布,520,杭州康斐尔空气净化有限公司,紧张,CAMF-F-006-006
Donaldson TO6VLM 空气滤清器,"TO6VLM, 流量1000m³/h",滤清器,F.02.02,Donaldson,纸质+金属外壳,890,成都唐纳森环保设备有限公司,充足,DONA-F-007-007
Pall Ultipleat SRT 高流量过滤器,"SRT-810-10, 流量100m³/h",过滤器,F.02.01,Pall,聚丙烯,1200,天津帕尔过滤技术有限公司,紧张,PALL-F-008-008
HYDAC RFBN-210*10C 回油滤清器,"RFBN-210*10C, 过滤精度10μm",滤清器,F.02.02,HYDAC,玻璃纤维+金属,750,南京海德克液压系统有限公司,充足,HYDA-F-009-009
Camfil City-Flo XL 除尘器,"City-Flo XL, 处理风量5000m³/h",除尘器,F.03.01,Camfil,镀锌钢板+滤筒,15000,上海康斐尔环保设备有限公司,缺货,CAMF-F-010-010
